InicioPeriodo,FimPeriodo,Segmento,Modalidade,Posicao,InstituicaoFinanceira,TaxaJurosAoMes,TaxaJurosAoAno
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.01,0.12
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.01,0.12
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.01,0.12
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.01,0.12
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.01,0.12
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.53,6.61
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.6,7.49
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.62,7.76
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.76
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.77
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,ZEMA CFI S/A,0.63,7.78
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,ZEMA CFI S/A,0.63,7.78
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,ZEMA CFI S/A,0.63,7.78
